id,hash,message,id_user
20,qoeieiq,people like boss,173
21,ashlakak,holamundo,198
22,qoeieiq,people like boss,117
23,fkjsfa,now you see me now you dont,168
24,pumpumpum,holamundo,154
25,ashlakak,me gusta america y a america le gusto,104
26,pumpumpum,people like boss,150
27,qoeieiq,holamundo,142
28,fkjsfa,vaso,156
29,titititin,vaso,103
30,ashlakak,people like boss,116
31,qoeieiq,people like boss,146
32,lololo,people like boss,188
33,ashlakak,me asusta morir,139
34,pumpumpum,people like boss,154
35,ashlakak,holamundo,139
36,lololo,now you see me now you dont,192
37,pumpumpum,me gusta america y a america le gusto,147
38,fkjsfa,now you see me now you dont,126
39,titititin,me gusta america y a america le gusto,145
40,fkjsfa,vaso,146
41,fkjsfa,me gusta america y a america le gusto,194
42,pumpumpum,now you see me now you dont,137
43,titititin,now you see me now you dont,146
44,lololo,people like boss,164
45,fkjsfa,me asusta morir,150
46,fkjsfa,now you see me now you dont,181
47,qoeieiq,me gusta america y a america le gusto,178
48,fkjsfa,me gusta america y a america le gusto,181
49,qoeieiq,people like boss,145
50,lololo,vaso,153
51,titititin,me gusta america y a america le gusto,157
52,lololo,me asusta morir,142
53,titititin,me gusta america y a america le gusto,113
54,fkjsfa,now you see me now you dont,126
55,pumpumpum,holamundo,114
56,pumpumpum,holamundo,108
57,pumpumpum,me gusta america y a america le gusto,112
58,qoeieiq,holamundo,195
59,lololo,holamundo,134
60,titititin,holamundo,189
61,pumpumpum,holamundo,185
62,ashlakak,vaso,180
63,lololo,people like boss,182
64,ashlakak,people like boss,111
65,fkjsfa,vaso,194
66,fkjsfa,holamundo,134
67,titititin,now you see me now you dont,139
68,ashlakak,vaso,163
69,lololo,now you see me now you dont,190
70,lololo,vaso,114
71,lololo,me asusta morir,185
72,titititin,holamundo,152
73,titititin,now you see me now you dont,148
74,qoeieiq,me asusta morir,174
75,fkjsfa,vaso,166
76,qoeieiq,now you see me now you dont,168
77,pumpumpum,vaso,137
78,ashlakak,vaso,152
79,fkjsfa,now you see me now you dont,174
80,ashlakak,me asusta morir,146
81,titititin,me asusta morir,135
82,qoeieiq,vaso,177
83,pumpumpum,me asusta morir,183
84,fkjsfa,me gusta america y a america le gusto,152
85,qoeieiq,now you see me now you dont,147
86,lololo,now you see me now you dont,136
87,qoeieiq,vaso,108
88,fkjsfa,holamundo,125
89,ashlakak,holamundo,128
90,pumpumpum,me gusta america y a america le gusto,153
91,lololo,vaso,195
92,lololo,me asusta morir,135
93,lololo,people like boss,141
94,fkjsfa,me asusta morir,149
95,lololo,people like boss,156
96,titititin,holamundo,164
97,qoeieiq,now you see me now you dont,172
98,qoeieiq,now you see me now you dont,168
99,qoeieiq,holamundo,187
100,fkjsfa,people like boss,173
101,ashlakak,now you see me now you dont,177
102,pumpumpum,me gusta america y a america le gusto,115
103,fkjsfa,me asusta morir,146
104,qoeieiq,me gusta america y a america le gusto,132
105,qoeieiq,now you see me now you dont,127
106,ashlakak,holamundo,121
107,ashlakak,holamundo,111
108,titititin,now you see me now you dont,184
109,titititin,vaso,195
110,fkjsfa,holamundo,140
111,lololo,people like boss,172
112,titititin,now you see me now you dont,145
113,pumpumpum,now you see me now you dont,143
114,ashlakak,now you see me now you dont,187
115,fkjsfa,now you see me now you dont,137
116,ashlakak,me gusta america y a america le gusto,139
117,qoeieiq,now you see me now you dont,107
118,titititin,now you see me now you dont,117
119,ashlakak,me gusta america y a america le gusto,165
120,qoeieiq,me gusta america y a america le gusto,133
121,fkjsfa,me gusta america y a america le gusto,106
122,fkjsfa,holamundo,166
123,titititin,me asusta morir,178
124,titititin,me asusta morir,107
125,fkjsfa,now you see me now you dont,129
126,titititin,now you see me now you dont,144
127,titititin,now you see me now you dont,174
128,ashlakak,now you see me now you dont,165
129,lololo,vaso,106
130,qoeieiq,vaso,171
131,pumpumpum,now you see me now you dont,184
132,titititin,now you see me now you dont,103
133,pumpumpum,vaso,150
134,pumpumpum,vaso,196
135,pumpumpum,me asusta morir,106
136,ashlakak,now you see me now you dont,150
137,ashlakak,me asusta morir,121
138,pumpumpum,vaso,117
139,lololo,vaso,113
140,qoeieiq,holamundo,134
141,qoeieiq,me asusta morir,116
142,ashlakak,vaso,184
143,pumpumpum,now you see me now you dont,182
144,fkjsfa,holamundo,116
145,lololo,people like boss,173
146,titititin,vaso,106
147,fkjsfa,now you see me now you dont,172
148,fkjsfa,holamundo,122
149,lololo,me asusta morir,136
150,fkjsfa,vaso,117
151,ashlakak,holamundo,125
152,pumpumpum,holamundo,112
153,titititin,vaso,100
154,fkjsfa,holamundo,142
155,fkjsfa,holamundo,196
156,titititin,me asusta morir,118
157,pumpumpum,me gusta america y a america le gusto,199
158,fkjsfa,now you see me now you dont,149
159,qoeieiq,now you see me now you dont,131
160,qoeieiq,me gusta america y a america le gusto,136
161,ashlakak,holamundo,199
162,lololo,people like boss,129
163,ashlakak,vaso,122
164,ashlakak,me asusta morir,146
165,pumpumpum,now you see me now you dont,195
166,pumpumpum,me asusta morir,192
167,lololo,me gusta america y a america le gusto,150
168,titititin,people like boss,176
169,fkjsfa,me asusta morir,143
170,ashlakak,people like boss,133
171,pumpumpum,holamundo,111
172,fkjsfa,holamundo,172
173,titititin,me asusta morir,181
174,titititin,holamundo,196
175,pumpumpum,people like boss,146
176,pumpumpum,holamundo,179
177,titititin,me asusta morir,167
178,ashlakak,me gusta america y a america le gusto,189
179,lololo,people like boss,109
180,pumpumpum,me asusta morir,194
181,fkjsfa,me gusta america y a america le gusto,127
182,lololo,vaso,149
183,fkjsfa,me asusta morir,185
184,ashlakak,me gusta america y a america le gusto,184
185,qoeieiq,me gusta america y a america le gusto,157
186,ashlakak,vaso,190
187,qoeieiq,me asusta morir,156
188,ashlakak,me asusta morir,196
189,titititin,now you see me now you dont,179
190,titititin,vaso,151
191,qoeieiq,holamundo,122
192,ashlakak,me gusta america y a america le gusto,138
193,fkjsfa,holamundo,128
194,pumpumpum,people like boss,132
195,titititin,vaso,141
196,pumpumpum,me asusta morir,105
197,ashlakak,holamundo,199
198,ashlakak,me asusta morir,199
199,fkjsfa,me gusta america y a america le gusto,198
200,pumpumpum,me asusta morir,138
201,qoeieiq,people like boss,108
202,fkjsfa,vaso,148
203,ashlakak,me gusta america y a america le gusto,129
204,pumpumpum,vaso,163
205,pumpumpum,holamundo,124
206,qoeieiq,now you see me now you dont,155
207,fkjsfa,now you see me now you dont,108
208,lololo,vaso,135
209,ashlakak,vaso,195
210,ashlakak,vaso,123
211,titititin,now you see me now you dont,153
212,fkjsfa,vaso,189
213,titititin,holamundo,112
214,ashlakak,vaso,160
215,titititin,me gusta america y a america le gusto,134
216,titititin,vaso,170
217,titititin,vaso,176
218,qoeieiq,now you see me now you dont,191
219,lololo,now you see me now you dont,100
220,ashlakak,me asusta morir,188
221,ashlakak,me asusta morir,106
222,ashlakak,vaso,135
223,titititin,people like boss,157
224,ashlakak,vaso,136
225,lololo,people like boss,119
226,titititin,me asusta morir,124
227,lololo,me gusta america y a america le gusto,184
228,pumpumpum,now you see me now you dont,162
229,fkjsfa,holamundo,183
230,qoeieiq,holamundo,139
231,titititin,people like boss,156
232,qoeieiq,people like boss,100
233,lololo,holamundo,154
234,titititin,holamundo,162
235,fkjsfa,vaso,176
236,ashlakak,me asusta morir,158
237,fkjsfa,me asusta morir,152
238,lololo,me asusta morir,187
239,qoeieiq,holamundo,107
240,pumpumpum,me gusta america y a america le gusto,168
241,pumpumpum,me asusta morir,101
242,ashlakak,people like boss,172
243,lololo,vaso,112
244,lololo,holamundo,162
245,pumpumpum,people like boss,148
246,pumpumpum,holamundo,180
247,pumpumpum,people like boss,130
248,lololo,people like boss,119
249,titititin,vaso,169
250,qoeieiq,holamundo,162
251,titititin,now you see me now you dont,118
252,pumpumpum,me asusta morir,123
253,titititin,me asusta morir,184
254,qoeieiq,me asusta morir,154
255,qoeieiq,holamundo,122
256,pumpumpum,people like boss,112
257,qoeieiq,people like boss,145
258,titititin,holamundo,198
259,lololo,now you see me now you dont,124
260,ashlakak,me gusta america y a america le gusto,119
261,ashlakak,now you see me now you dont,141
262,qoeieiq,holamundo,116
263,ashlakak,holamundo,137
264,ashlakak,me asusta morir,171
265,pumpumpum,people like boss,183
266,ashlakak,now you see me now you dont,104
267,titititin,me asusta morir,147
268,lololo,me gusta america y a america le gusto,192
269,ashlakak,people like boss,145
270,fkjsfa,now you see me now you dont,143
271,qoeieiq,holamundo,178
272,titititin,people like boss,157
273,qoeieiq,now you see me now you dont,112
274,qoeieiq,now you see me now you dont,121
275,ashlakak,people like boss,189
276,pumpumpum,me gusta america y a america le gusto,151
277,fkjsfa,now you see me now you dont,117
278,pumpumpum,now you see me now you dont,137
279,ashlakak,now you see me now you dont,149
280,pumpumpum,vaso,199
281,ashlakak,me asusta morir,189
282,lololo,vaso,105
283,qoeieiq,people like boss,180
284,lololo,holamundo,198
285,titititin,holamundo,170
286,fkjsfa,people like boss,104
287,titititin,people like boss,180
288,qoeieiq,holamundo,130
289,qoeieiq,vaso,144
290,pumpumpum,me asusta morir,123
291,pumpumpum,me asusta morir,105
292,qoeieiq,me asusta morir,100
293,fkjsfa,now you see me now you dont,168
294,titititin,holamundo,183
295,titititin,people like boss,166
296,fkjsfa,me asusta morir,143
297,pumpumpum,me gusta america y a america le gusto,106
298,lololo,holamundo,175
299,pumpumpum,people like boss,192
300,lololo,now you see me now you dont,198
301,lololo,now you see me now you dont,172
302,qoeieiq,vaso,105
303,fkjsfa,me gusta america y a america le gusto,192
304,ashlakak,me asusta morir,194
305,fkjsfa,people like boss,134
306,titititin,vaso,178
307,lololo,holamundo,168
308,ashlakak,holamundo,160
309,qoeieiq,now you see me now you dont,161
310,ashlakak,me asusta morir,112
311,titititin,vaso,142
312,pumpumpum,holamundo,159
313,qoeieiq,me asusta morir,132
314,lololo,holamundo,132
315,qoeieiq,me asusta morir,111
316,titititin,now you see me now you dont,182
317,fkjsfa,me asusta morir,166
318,lololo,people like boss,154
319,lololo,people like boss,116
320,titititin,me gusta america y a america le gusto,126
321,fkjsfa,now you see me now you dont,181
322,fkjsfa,now you see me now you dont,156
323,fkjsfa,people like boss,163
324,pumpumpum,now you see me now you dont,163
325,pumpumpum,me gusta america y a america le gusto,193
326,titititin,me asusta morir,137
327,lololo,vaso,198
328,lololo,vaso,108
329,ashlakak,me asusta morir,154
330,lololo,me asusta morir,112
331,qoeieiq,people like boss,132
332,titititin,me asusta morir,107
333,pumpumpum,holamundo,125
334,fkjsfa,me gusta america y a america le gusto,185
335,ashlakak,people like boss,119
336,pumpumpum,holamundo,191
337,lololo,now you see me now you dont,163
338,titititin,now you see me now you dont,118
339,fkjsfa,holamundo,183
340,pumpumpum,people like boss,157
341,lololo,vaso,136
342,titititin,me gusta america y a america le gusto,180
343,qoeieiq,holamundo,133
344,qoeieiq,holamundo,159
345,ashlakak,me gusta america y a america le gusto,162
346,lololo,now you see me now you dont,172
347,qoeieiq,holamundo,146
348,fkjsfa,me gusta america y a america le gusto,126
349,ashlakak,holamundo,172
350,lololo,me asusta morir,125
351,ashlakak,vaso,193
352,lololo,me asusta morir,140
353,lololo,holamundo,183
354,qoeieiq,me asusta morir,161
355,titititin,me gusta america y a america le gusto,162
356,qoeieiq,vaso,123
357,lololo,now you see me now you dont,123
358,ashlakak,me asusta morir,142
359,fkjsfa,me asusta morir,158
360,pumpumpum,me asusta morir,188
361,titititin,now you see me now you dont,154
362,pumpumpum,holamundo,111
363,titititin,me gusta america y a america le gusto,193
364,pumpumpum,vaso,117
365,titititin,people like boss,153
366,ashlakak,me asusta morir,122
